OBJECTID,REGION,PCTILE,MINORPCT,LOWINCPCT,LESSHSPCT,LINGISOPCT,UNDER5PCT,OVER64PCT,PRE1960PCT,UNEMPPCT,VULEOPCT,DSLPM,CANCER,RESP,PTRAF,PWDIS,PNPL,PRMP,PTSDF,OZONE,PM25,UST,D_LDPNT_2,D_DSLPM_2,D_CANCR_2,D_RESP_2,D_PTRAF_2,D_PWDIS_2,D_PNPL_2,D_PRMP_2,D_PTSDF_2,D_OZONE_2,D_PM25_2,D_UST_2
47,USA,46,0.278632202955171,0.253512545956347,0.079506201632346,0.004164890738683,0.052947851756769,0.134208532363264,0.139788584608660,0.038296392929000,0.276021085804424,0.225682021434591,22.690486057752800,0.295349615227065,184.445094030830006,0.000664892833233,0.055250913645683,0.264140429133995,0.556832995936873,41.829518288151398,8.462577721938921,0.995374349070814,-5.149162229825260,-17.810902604815499,-2900.488931516440061,-35.619479054019102,-4885.557377780400202,-0.004018835895008,-3.864351608058040,-19.237683481406702,-21.085024299706699,-4977.820317593879736,-977.033273027285986,-2.906603397909960
48,USA,47,0.287393181162982,0.258975611141134,0.081665172728364,0.006556908563818,0.053804254217798,0.136251655297896,0.146867616442943,0.039240737164298,0.281540014574730,0.229623137030530,22.884099641362901,0.298362379650976,193.571384105629988,0.000743762955703,0.056839643813739,0.275763013345954,0.589778478350966,41.914510254123499,8.502502695555000,1.056367981114820,-4.208776997745810,-16.387399356899099,-2697.075026681869986,-33.170718514094197,-4124.412505769390009,-0.002987794122764,-3.514301735472770,-17.465629642453202,-18.557971861569399,-4655.475321207610250,-914.623555820321030,-0.872756793829626
49,USA,48,0.296769534347303,0.264580608494210,0.083981287984837,0.008327949943550,0.054668525910034,0.138220965907162,0.154248760266657,0.040210428519525,0.287471190264335,0.233832119338897,23.077713224972900,0.301341658904515,203.031285641555002,0.000833380310142,0.058512781346085,0.287627399922804,0.624757311143030,42.012802090107300,8.537882976496039,1.121682339623490,-3.291219285759280,-14.959937807937200,-2498.915008620800108,-30.689342957238001,-3405.111234090159996,-0.002185193217977,-3.175984705761230,-15.736583728070800,-16.209656936476399,-4324.740333550979813,-851.063267102147051,-0.000833049125513
50,USA,49,0.305942073238241,0.270192706835760,0.086251064826836,0.009787611758243,0.055555074904379,0.140173490398277,0.161799264370158,0.041231937742756,0.293321584188875,0.237753347501580,23.271326808582899,0.304281061611741,212.272101751201006,0.000932836499670,0.060168921335810,0.300647144044149,0.663092646676387,42.112542959654803,8.572425606406140,1.186529321636600,-2.412036815291080,-13.502289579591800,-2296.295073422269979,-28.125474345062798,-2757.835701566680200,-0.001527858430712,-2.837733625297030,-14.168274118158200,-14.143637751751200,-3981.420192524829872,-784.589768859626020,-0.000779748435514
51,USA,50,0.315747679847129,0.275750283055284,0.088533286241256,0.011139287132041,0.056507688686440,0.142217228103047,0.169529560135030,0.042238746453725,0.299630996309962,0.241809610993426,23.464940392193000,0.307220464318967,221.969925692418997,0.001042226999318,0.061856580690432,0.314297481501103,0.702394493133555,42.213620321098503,8.603407141523970,1.254483300384790,-1.501942587245700,-12.078632253964001,-2083.970173071530098,-25.581949346935300,-2162.560226573999898,-0.001090307191861,-2.519741825112100,-12.555957347910100,-12.090509016243400,-3628.540323663360141,-717.043721594645035,-0.000726447745515
52,USA,51,0.325647334811332,0.281579153893326,0.090834282776016,0.012455149298422,0.057349615370876,0.144207449953945,0.177318740414897,0.043235901364413,0.306189546460662,0.245887431515747,23.658553975802999,0.310159867026192,231.954641246840993,0.001164357273048,0.063592516797126,0.328958487513911,0.742631907249346,42.304282161602700,8.633673829781610,1.322631701563270,-0.563299664962145,-10.700554663265500,-1865.832724922850048,-23.013197938878299,-1670.362065160870088,-0.000763229513565,-2.203462788065920,-10.931784820848801,-10.257341882550000,-3269.560736384989923,-648.529980392421976,-0.000673147055516
53,USA,52,0.335763937563605,0.287212355624516,0.093317631575560,0.013633574221526,0.058229554659653,0.146231050708593,0.185302672708252,0.044263719879422,0.312558723252961,0.250020855769750,23.852167559413100,0.313099269733418,242.241737668858008,0.001305608878978,0.065336275701279,0.344493679094856,0.784505633827821,42.412747433375898,8.664177244359930,1.395209263243810,-0.000962393849894,-9.310580085456261,-1645.658128446410046,-20.376370494065899,-1233.112722388319980,-0.000516624046334,-1.887740185445510,-9.378007742008659,-8.576894988503390,-2913.840144475069792,-577.396775335310053,-0.000619846365517
54,USA,53,0.345961024322311,0.292910705459533,0.095801269252971,0.014888692227839,0.059122264851564,0.148328275050263,0.193782516363580,0.045316231827141,0.319163412534115,0.254477552437026,24.045781143023099,0.316038672440644,252.887048078959992,0.001452990855728,0.067247080381956,0.361725174951610,0.828755329604208,42.521754301078900,8.698661665542399,1.472294306257920,-0.000874850966027,-7.917522472546750,-1417.613446877500110,-17.598423091841301,-835.518385802549005,-0.000330158560245,-1.594449978059860,-7.917697970964250,-6.989540644407640,-2544.358729376639985,-506.395910961216998,-0.000566545675518
55,USA,54,0.356385507328987,0.298792231590955,0.098343303553681,0.016091418194005,0.059999701517040,0.150381520909617,0.202488742849705,0.046326507813148,0.325827851669034,0.259110871035630,24.239394726633201,0.318978075147869,264.294394597841006,0.001620986051899,0.069246639864547,0.380535462408068,0.873412038363176,42.622284111444898,8.736740239904760,1.554790515297990,-0.000787308082160,-6.574443458369930,-1174.612388636159949,-14.679970361099000,-504.171507168836001,-0.000205974122733,-1.300272991033150,-6.401356672807860,-5.536807783336830,-2155.815326330090102,-428.537985413207991,-0.000513244985519
56,USA,55,0.367106430394866,0.305010139026200,0.101080952837031,0.017360156801762,0.060916072656722,0.152461799484622,0.211792028118309,0.047421961752454,0.332714377923864,0.263310332300830,24.433008310243199,0.321917477855095,276.024698388249988,0.001803004263196,0.071215699226354,0.400161970240752,0.921610526788844,42.714223755718002,8.776524531154299,1.638318455547500,-0.000699765198293,-5.139481565429760,-923.510693106018948,-11.545726373273400,-256.824185191973015,-0.000120257428211,-1.009102221687760,-4.949293052342810,-4.171373966210400,-1765.927683185060005,-352.107557838497996,-0.000459944295520
